Rad,Vare,Antall,Stykkpris,Rabatt,Sum
1,BÆREPOSE EXTRA,,,,3.00
2,COLG.TANDST.KON.75ML,,,,32.00
3,COOP FRØKNE.BR.M/GRE,,,,39.40
4,COOP PESTO GRØNN,,,,19.90
5,EXPLO MANGO/PASSION,,,,20.50
6,PANT,,,,2.00
7,GILDE GRILLRIBBE,,,,190.89
8,1.552 kg,123.00 kr/kg,,,
9,GREV.FRUKT 0.5L 6PK,,,,221.40
10,PANT,Antall: 6 stk,2.00 kr/stk,,12.00
11,GRILSTAD JUBELSALAMI,,,,74.90
12,JARLSBERGOST 27%,,,,47.40
13,KREMFLØTE 3DL L.FRI,,,,24.90
14,MEN EXP.ROLL-ON THE.,,,,34.30
15,MORELLER KG,,,,57.62
16,0.582 kg,99.00 kr/kg,,,
17,POT.STAPPE VAN.MILLS,Antall: 2 stk,22.40 kr/stk,,44.80
18,POTET ØKO 1.5KG,,,,46.90
19,SETERRØMME 300G,,,,24.90
20,STABBUR-MAKRELL 170G,Antall: 4 stk,18.90 kr/stk,,75.60
21,TINE REVET OST,,,,46.90
22,Coop Pizza 300G/410G,,,,
23,COOP PEPPERONI,Antall: 4 stk,37.70 kr/stk,,
24,Mixrabatt,TEK,,,
25,Sum mixEL,,,,96.00
