,,Buvika,,,
,,Åpent 7 - 23 (8 - 23),,,
,,Telefon 40 00 12 44,,,
,,COOP MIDT-NORGE SA,,,
,,Org.nr 938 786 054 MVA,,,
,,"Butikk 1821-1, Andreas",,,
,Salgskvittering 1034469 16.07.2022 17:21,,,,
BÆREPOSE EXTRA,,,,,3.00
COLG.TANDST.KON.75ML,,,,,32.00
COOP FRØKNE.BR.M/GRE,,,,,39.40
COOP PESTO GRØNN,,,,,19.90
EXPLO MANGO/PASSION,,,,,20.50
PANT,,,,,2.00
GILDE GRILLRIBBE,,,,,190.89
1.552 kg,123.00 kr/kg,,,,
GREV.FRUKT 0.5L 6PK,,,,,221.40
PANT,,,,,12.00
Antall: 6 stk,2.00 kr/stk,,,,
GRILSTAD JUBELSALAMI,,,,,74.90
JARLSBERGOST 27%,,,,,47.40
KREMFLØTE 3DL L.FRI,,,,,24.90
MEN EXP.ROLL-ON THE.,,,,,34.30
MORELLER KG,,,,,57.62
0.582 kg,99.00 kr/kg,,,,
POT.STAPPE VAN.MILLS,,,,,44.80
Antall: 2 stk,22.40 kr/stk,,,,
POTET ØKO 1.5KG,,,,,46.90
SETERRØMME 300G,,,,,24.90
STABBUR-MAKRELL 170G,,,,,75.60
Antall: 4 stk,18.90 kr/stk,,,,
TINE REVET OST,,,,,46.90
Coop Pizza 300G/410G,,,,K,
,,,,IS,
COOP PEPPERONI,,,N,( 150.80),
Antall: 4 stk,37.70 kr/stk,RO,,,
Mixrabatt,TEK,,,(- 54.80),
Sum mixEL,,,,GIN,96.00
Totalt (25 Artikler),,TER,,1 115.31,
Coopay:,KVIT,,,,1 115.31
TransId: 2PVN6K3C7VPC1,,,,,
Herav,,,,,
Dagligvarer,,,,,1 115.31
Øvrige varer,,,,,0.00
Rabatter,,,,,54.80
MVA-grunnlag,,MVA-%,MVA,Sum,
,14.00,0%,0.00,14.00,
,704.88,15%,105.73,810.61,
,232.56,25%,58.14,290.70,
Summer,951.44,,163.87,1115.31,
Medlemsnr. 8315324748 - CoopID 872382916,,,,,
Medlemsfordeler,,,,,
Ordinært kjøpeutbytte,,,,33.04,
Sum medlemsfordeler:,,,,33.04,
Kjøpeutbytte,,MVA-%,MVA,Sum,
,21.15,15%,3.17,24.32,
,6.98,25%,1.74,8.72,
Summer,28.12,,4.92,33.04,
,"Takk for besøket, velkommen tilbake!",,,,
,Bruk Coop Medlem-appen og få,,,,
,"11% bonus på frukt og grønt, og",,,,
,"20% bonus på bleier, babywipes og barnemat!",,,,
,Se ditt fordelsregnskap på coop.no/min-side,,,,
,– oppdateres den 10. neste måned.,,,,
22100182100101034469000017211607223,,,,,
